enterprise_value_q,cost_of_equity,used_growth_rate,levered_wacc,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax,ev_sales_valuation,ebitda_valuation
36340172.28,0.12,0.03,0.07,7591917.00,-1302787.00,9704351.89,7810438.50,49819526.71,65824857.66
38188012.38,0.12,0.03,0.07,5531110.00,-5897484.00,7147161.48,13279446.90,49990706.94,64624381.33
35983160.50,0.13,0.03,0.07,10893379.00,16745475.00,5295197.08,-2311160.65,47364601.67,63032538.93
41514588.98,0.14,0.00,0.09,2144826.00,-2745484.00,3834448.66,4755935.10,39875616.00,20021391.07
32719085.00,0.13,0.03,0.09,-374244.00,141787.00,2506453.24,5231896.90,48182505.91,35164146.05
25606115.48,0.12,0.02,0.08,4644466.00,-2232771.00,6339645.41,9401831.55,51442698.83,48684241.73
29452591.88,0.11,0.02,0.07,1556082.00,-1501658.00,3209209.40,8436362.07,56026333.20,49029185.45
29510463.91,0.13,0.00,0.09,17058819.00,-1075265.00,11094933.37,11236331.42,44090544.81,18815361.29
18827055.01,0.14,0.01,0.09,8636976.00,3278573.00,5410199.76,6349839.12,54799841.44,30018876.11
21284159.39,0.16,0.01,0.08,28368185.00,7293531.00,14988216.94,17494252.33,84697749.63,127833479.00
19707210.55,0.14,0.01,0.07,4054631.00,-4506237.00,11135921.12,6600788.01,79167742.42,100506752.50
17059423.53,0.14,0.01,0.07,8469611.00,-820419.00,10748338.70,3061833.76,79796839.24,57279993.68
288956447.50,0.13,0.01,0.07,84538000.00,-32704000.00,84687765.00,138422671.00,390352871.80,555407219.60
288956447.50,0.12,0.01,0.07,6638000.00,522553000.00,7911084.00,-443621887.60,235608635.40,449813960.10
190936922.30,0.13,-0.01,0.09,578000.00,-24840000.00,10464240.00,30589540.00,138326662.80,26787196.86
190936922.30,0.13,0.00,0.06,-16189000.00,-17868000.00,-6654799.30,49808509.60,261142351.20,140000552.30
190936922.30,0.12,0.02,0.07,15013000.00,87981000.00,18571867.80,16685964.50,392557826.40,425866094.10
190936922.30,0.12,0.01,0.07,95234000.00,20748000.00,94412352.50,50665655.00,290708462.40,289237441.60
276929243.10,0.13,-0.01,0.09,-19031000.00,-13933000.00,-14017220.00,20004830.00,186552555.50,17057546.42
276929243.10,0.11,0.00,0.06,-12650000.00,20305000.00,-2869141.40,5929793.00,324563313.30,127703202.50
276929243.10,0.12,0.02,0.07,57863000.00,100782000.00,60366004.50,2621177.50,438161525.50,425975858.80
